question_number,difficulty,tags,solved,optimal,time_taken,date
1929,e,array-simulation,yes,yes,1.08,27/8
1920,e,array-simulation,yes,no,3.55,27/8
3190,e,array-math,yes,yes,1.42,27/8
2011,e,array-string-simulation,yes,yes,1.00,27/8
1512,e,array-hashtable-math-counting,yes,no,1.37,27/8
2942,e,array-string,yes,yes,2.04,27/8
1470,e,array,yes,yes,2.42,27/8
1672,e,array-matrix,no,,,27/8
2373,e,array-matrix,no,,,27/8
1863,e,array-math-backtracking-bitmanipulation-combinatorics-enumeration,no,,,27/8
3110,e,string,yes,yes,2.12,27/8
1108,e,string,yes,no,3.05,27/8
3146,e,hashtable-string,yes,yes,4.22,27/8
771,e,hashtable-string,yes,yes,2.04,27/8
1678,e,string,yes,yes,14.01,27/8
2114,e,array-string,yes,yes,2.57,27/8
1221,e,string-greedy-counting,yes,yes,2.31,27/8
1365,e,array-hashtable-sorting-counting,yes,no,7.12,27/8
3162,e,array-hashtable,yes,no,5.38,27/8
1,e,array-hashtable,yes,yes,3.21,27/8
217,e,array-hashtable-sorting,yes,yes,1.42,28/8
1832,e,hashtable-string,yes,yes,3.12,28/8
345,e,twopointers-string,no,,,28/8
125,e,twopointers-string,yes,yes,10.20,28/8
977,e,array-twopointers,yes,yes,13.20,28/8
2000,e,twopointers-string,yes,yes,4.58,28/8
1662,e,array-string,yes,yes,1.02,28/8
1816,e,array-string,yes,yes,3.03,28/8
1528,e,array-string,yes,yes,3.16,28/8
1859,e,string-sorting,no,,,28/8
1844,e,string,yes,yes,6.48,28/8
412,e,math-string-simulation,yes,yes,4.45,28/8
3174,e,string-stack-simulation,yes,yes,9.38,28/8
1160,e,array-hashtable-string,no,,,28/8
1047,e,string-stack,yes,yes,7.55,28/8
824,e,string,no,,,28/8
171,e,math-string,no,,,28/8
2828,e,array-string,yes,yes,1.17,28/8
